"service_id","date","exception_type"
Na,20161115,1
0,20161116,1
Ss,20161116,1
Su,20161116,1
Na,20161116,1
0,20161117,1
Ss,20161117,1
Su,20161117,1
Na,20161117,1
0,20161118,1
Ss,20161118,1
Su,20161118,1
Na,20161118,1
Yr,20161118,1
Fa,20161118,1
2,20161119,1
3,20161120,1
Nb,20161120,1
0,20161121,1
Ss,20161121,1
Su,20161121,1
Na,20161121,1
0,20161122,1
Ss,20161122,1
Su,20161122,1
Na,20161122,1
0,20161123,1
Ss,20161123,1
Su,20161123,1
Na,20161123,1
0,20161124,1
Ss,20161124,1
Su,20161124,1
Na,20161124,1
0,20161125,1
Ss,20161125,1
Su,20161125,1
Na,20161125,1
Yr,20161125,1
Fa,20161125,1
2,20161126,1
3,20161127,1
Nb,20161127,1
0,20161128,1
Ss,20161128,1
Su,20161128,1
Na,20161128,1
0,20161129,1
Ss,20161129,1
Su,20161129,1
Na,20161129,1
0,20161130,1
Ss,20161130,1
Su,20161130,1
Na,20161130,1
0,20161201,1
Ss,20161201,1
Su,20161201,1
Na,20161201,1
0,20161202,1
Ss,20161202,1
Su,20161202,1
Na,20161202,1
Yr,20161202,1
Fa,20161202,1
2,20161203,1
3,20161204,1
Nb,20161204,1
0,20161205,1
Ss,20161205,1
Su,20161205,1
Na,20161205,1
0,20161206,1
Ss,20161206,1
Su,20161206,1
Na,20161206,1
0,20161207,1
Ss,20161207,1
Su,20161207,1
Na,20161207,1
0,20161208,1
Ss,20161208,1
Su,20161208,1
Na,20161208,1
0,20161209,1
Ss,20161209,1
Su,20161209,1
Na,20161209,1
Yr,20161209,1
Fa,20161209,1
2,20161210,1
3,20161211,1
Nb,20161211,1
0,20161212,1
Ss,20161212,1
Su,20161212,1
Na,20161212,1
0,20161213,1
Ss,20161213,1
Su,20161213,1
Na,20161213,1
0,20161214,1
Ss,20161214,1
Su,20161214,1
Na,20161214,1
0,20161215,1
Ss,20161215,1
Su,20161215,1
Na,20161215,1
0,20161216,1
Ss,20161216,1
Su,20161216,1
Na,20161216,1
Yr,20161216,1
Fa,20161216,1
2,20161217,1
3,20161218,1
Nb,20161218,1
0,20161219,1
Ss,20161219,1
Su,20161219,1
Na,20161219,1
0,20161220,1
Ss,20161220,1
Su,20161220,1
Na,20161220,1
0,20161221,1
Ss,20161221,1
Su,20161221,1
Na,20161221,1
0,20161222,1
Ss,20161222,1
Su,20161222,1
Na,20161222,1
0,20161223,1
Sf,20161223,1
Su,20161223,1
Na,20161223,1
Yr,20161223,1
Fa,20161223,1
2,20161224,1
Yt,20161224,1
3,20161225,1
Ys,20161225,1
3,20161226,1
Nb,20161226,1
0,20161227,1
Sf,20161227,1
Na,20161227,1
0,20161228,1
Sf,20161228,1
Na,20161228,1
0,20161229,1
Sf,20161229,1
Na,20161229,1
0,20161230,1
Sf,20161230,1
Na,20161230,1
Yr,20161230,1
Fa,20161230,1
2,20161231,1
Yu,20161231,1
